Ciclos,Vida_Util
11, 97.00 
13, 97.00 
13, 97.00 
16, 97.00 
19, 99.00 
34, 95.00 
69, 92.00 
79, 91.00 
94, 89.00 
102, 91.00 
111, 88.00 
115, 88.00 
137, 88.00 
139, 88.00 
168, 83.00 
174, 82.00 
196, 80.00 
205, 82.00 
211, 79.00 
216, 79.00 
226, 80.00 
227, 78.00 
242, 77.00 
253, 76.00 
258, 75.00 
260, 75.00 
270, 75.00 
270, 76.00 
270, 74.00 
279, 73.00 
280, 73.00 
289, 72.00 
312, 70.00 
319, 70.00 
328, 69.00 
349, 67.00 
352, 67.00 
354, 69.00 
382, 64.00 
400, 63.00 
403, 62.00 
407, 62.00 
412, 61.00 
414, 61.00 
417, 61.00 
421, 61.00 
429, 60.00 
444, 59.00 
462, 59.00 
483, 58.00 
491, 55.00 
511, 53.00 
528, 51.00 
530, 51.00 
554, 49.00 
557, 49.00 
561, 48.00 
565, 48.00 
580, 47.00 
604, 44.00 
617, 43.00 
618, 43.00 
626, 43.00 
634, 42.00 
637, 42.00 
666, 39.00 
675, 38.00 
682, 37.00 
693, 37.00 
729, 34.00 
733, 33.00 
734, 33.00 
739, 33.00 
761, 31.00 
765, 30.00 
769, 30.00 
772, 29.00 
772, 30.00 
775, 32.00 
777, 30.00 
786, 28.00 
786, 28.00 
789, 28.00 
790, 28.00 
792, 28.00 
792, 28.00 
800, 27.00 
825, 25.00 
841, 24.00 
843, 23.00 
844, 24.00 
849, 23.00 
854, 22.00 
898, 19.00 
903, 19.00 
935, 15.00 
970, 12.00 
976, 11.00 
981, 12.00 
995, 10.00 
